,zip,year,units_built,price
1343,94928,2010,5.686487,323197.0
1351,94929,2010,0.0,734954.0
1356,94930,2010,2.9896409999999998,594314.0
1364,94931,2010,0.96511922,343255.0
1372,94933,2010,0.0,469938.0
1378,94937,2010,1.7173919999999998,
1384,94938,2010,0.0,645624.0
1390,94939,2010,1.451127,1097407.0
1398,94941,2010,34.065635,968320.0
1406,94945,2010,3.0,569312.0
1414,94946,2010,5.556724,908436.0
1420,94947,2010,1.7922327999999998,545146.0
1428,94949,2010,8.0123879,598261.0
1436,94950,2010,0.0,720284.0
1442,94951,2010,1.156435,648524.0
1450,94952,2010,24.06927343,514030.0
1458,94954,2010,0.004870482000000001,398936.0
1466,94956,2010,2.136976,576974.0
1473,94957,2010,0.0,1082570.0
1480,94960,2010,4.56113122,759209.0
1488,94963,2010,0.0,821589.0
1494,94964,2010,0.0,822346.0
1502,94965,2010,0.0779271,868574.0
1510,94970,2010,0.037594,
1518,94971,2010,0.015534,612032.0
1523,94972,2010,0.00209497,774918.0
1531,94973,2010,0.571428,659277.0
1537,95002,2010,0.0714286,839612.0
1544,95008,2010,5.090104999999999,721336.0
1552,95014,2010,56.431796999999996,1085201.0
1560,95020,2010,15.594574000000001,432829.0
1569,95030,2010,17.949658,1748992.0
1577,95032,2010,15.831039372000001,1039702.0
1585,95033,2010,0.961195046,848039.0
1593,95035,2010,87.142857,518679.0
1601,95037,2010,45.6075308,545991.0
1609,95046,2010,0.33114,673807.0
1617,95050,2010,93.104816,575710.0
1625,95051,2010,297.51944299999997,682738.0
1633,95054,2010,9.037800664,633035.0
1639,95070,2010,22.54754162,1381289.0
1647,95076,2010,0.3606795,348776.0
1654,95110,2010,1.719477,372649.0
1662,95111,2010,54.987748,374697.0
1668,95112,2010,4.2805230000000005,386732.0
1688,95117,2010,0.1384614,611272.0
1696,95118,2010,1.0,604816.0
1708,95120,2010,1.0462287,878123.0
1733,95124,2010,5.8722094,669944.0
1741,95125,2010,45.35462700000001,780575.0
1749,95126,2010,2.48695992,550783.0
1757,95127,2010,5.00129366,355800.0
1765,95128,2010,2.647306,585975.0
1773,95129,2010,26.951933,898249.0
1792,95132,2010,0.998706,586565.0
1807,95134,2010,0.357143,500632.0
1815,95135,2010,0.0474777,645603.0
1823,95136,2010,9.48104,527963.0
1830,95138,2010,21.033324,688718.0
1838,95139,2010,1.0,459646.0
1847,95141,2010,0.1060821,1267854.0
1854,95148,2010,9.95252,587453.0
1867,95391,2010,0.036563,357518.0
1875,95401,2010,2.24156486,288771.0
1883,95403,2010,3.82964532,336320.0
1891,95404,2010,31.1386528,406540.0
1899,95405,2010,0.793150697,372299.0
1907,95407,2010,56.0218182,287546.0
1915,95409,2010,1.6333457,404560.0
1933,95419,2010,0.0,
1948,95425,2010,0.865542,334474.0
1956,95430,2010,0.0,380711.0
1969,95436,2010,2.87601889,351376.0
1983,95441,2010,1.37107092,489220.0
1991,95442,2010,2.9008718,503459.0
1999,95444,2010,0.522705,392718.0
2010,95446,2010,4.148563941,268059.0
2018,95448,2010,19.5178582,493506.0
2032,95452,2010,0.434976,566865.0
2040,95461,2010,0.004804808,155332.0
2054,95465,2010,1.8711719999999998,662154.0
2062,95471,2010,0.002597404,
2070,95472,2010,20.965282952,552485.0
2078,95476,2010,9.0610118,505615.0
2086,95492,2010,1.4079212,373499.0
2101,95616,2010,0.007326,466487.0
2107,95618,2010,0.051282,495483.0
2113,95620,2010,1.62040454,262413.0
2121,95625,2010,0.0,197990.0
2129,95687,2010,42.678506999999996,238957.0
2137,95688,2010,75.74505539200001,285568.0
2148,95694,2010,0.7949012,264596.0
