FIPS13,YearBuilt,TotalUnits
"060133551083022","2001",19
"060133551083023","2015",1
"060133551083025","2001",8
"060133551083025","2000",18
"060133551083076","2004",2
"060133551083076","2003",11
"060133551083076","2002",19
"060133551083078","2001",11
"060133551083078","2000",19
"060133551083079","2001",11
"060133551083079","2000",27
"060133551083080","2000",22
"060133551091002","2000",13
"060133551091003","2000",3
"060133551091007","2007",28
"060133551091007","2008",29
"060133551091007","2009",29
"060133551091026","2002",13
"060133551091027","2002",8
"060133551091027","2000",31
"060133551091028","2000",12
"060133551091028","2002",14
"060133551091028","2001",36
"060133551091029","2002",9
"060133551091029","2001",15
"060133551091030","2000",17
"060133551091031","2002",4
"060133551091031","2001",11
"060133551091031","2000",12
"060133551093000","2003",2
"060133551093002","2000",13
"060133551093008","2004",1
"060133551093008","2000",4
"060133551093021","2007",8
"060133551111005","2000",3
"060133551111005","2001",13
"060133551111005","2002",26
"060133551111007","2002",3
"060133551111007","2000",21
"060133551111007","2001",27
"060133551111008","2001",9
"060133551111008","2000",20
"060133551111010","2000",1
"060133551111010","2002",8
"060133551111011","2000",4
"060133551111011","2001",31
"060133551111011","2002",35
"060133551111013","2001",12
"060133551111014","2002",14
"060133551111015","2002",10
"060133551111015","2001",18
"060133551111016","2000",10
"060133551111016","2001",12
"060133551111016","2002",23
"060133551111022","2000",23
"060133551111023","2000",3
"060133551111026","2000",19
"060133551111027","2000",9
"060133551112000","2000",16
"060133551112000","2001",66
"060133551112003","2001",13
"060133551112003","2000",19
"060133551112004","2000",29
"060133551112010","2000",17
"060133551121005","2005",1
"060133551121007","2002",2
"060133551121010","2003",1
"060133551121023","2005",1
"060133551121110","2009",1
"060133551121110","2000",2
"060133551121110","2001",2
"060133551121110","2014",2
"060133551121119","2004",1
"060133551121119","2009",1
"060133551121120","2009",1
"060133551121125","2001",1
"060133551121125","2005",2
"060133551121130","2001",1
"060133551121158","2009",1
"060133551121177","2004",1
"060133551121177","2014",1
"060133551121234","2012",1
"060133551121271","2001",2
"060133551121285","2000",1
"060133551121299","2000",1
"060133551121301","2017",1
"060133551121304","2002",1
"060133551121304","2003",2
"060133551121305","2007",1
"060133551121305","2016",1
"060133551121367","2007",1
"060133551122006","2000",1
"060133551122006","2002",1
"060133551122006","2003",2
"060133551122007","2004",1
"060133551122007","2008",1
"060133551122010","2001",1
"060133551122010","2004",1
"060133551122010","2006",1
"060133551122010","2008",1
"060133551122010","2011",1
"060133551122010","2014",1
"060133551122010","2000",2
"060133551122011","2003",1
"060133551122011","2014",1
"060133551123003","2013",1
"060133551123003","2000",4
"060133551123003","2002",5
"060133551123003","2001",17
"060133551123004","2005",1
"060133551123004","2014",1
"060133551123004","2016",1
"060133551123010","2001",1
"060133551123010","2011",1
"060133551123013","2012",1
"060133551131000","2001",1
"060133551131001","2014",1
"060133551131022","2005",1
"060133551132000","2008",1
"060133551132003","2000",1
"060133551132004","2003",1
"060133551132010","2007",1
"060133551132010","2008",3
"060133551132015","2008",1
"060133551132015","2000",2
"060133551132015","2001",10
"060133551133000","2007",1
"060133551133000","2000",2
"060133551141000","2000",2
"060133551141003","2003",1
"060133551141003","2005",1
"060133551141003","2007",1
"060133551141003","2013",1
"060133551141003","2016",1
"060133551141003","2014",2
"060133551141003","2000",3
"060133551141003","2001",12
"060133551142001","2006",3
"060133551142001","2007",50
"060133551142002","2007",19
"060133551142003","2005",1
"060133551142003","2002",4
"060133551142003","2007",4
"060133551142003","2006",7
"060133551142003","2003",9
"060133551142004","2009",2
"060133551142004","2008",13
"060133551142004","2005",37
"060133551142004","2006",54
"060133551142004","2007",61
"060133551142005","2007",8
"060133551142005","2006",27
"060133551142006","2007",16
"060133551142007","2007",5
"060133551142007","2006",12
"060133551142008","2007",3
"060133551142008","2006",41
"060133551142010","2006",3
"060133551142010","2007",10
"060133551142011","2007",16
"060133551142011","2006",21
"060133551142012","2004",19
"060133551142013","2008",2
"060133551142013","2007",11
"060133551142014","2006",10
"060133551142014","2007",15
"060133551142015","2006",7
"060133551142015","2007",8
"060133551142016","2004",12
"060133551142017","2007",6
"060133551142017","2006",15
"060133551142020","2005",2
"060133551142020","2007",6
"060133551142020","2003",7
"060133551142021","2003",8
"060133551142022","2003",1
"060133551142022","2004",1
"060133551142022","2001",2
"060133551142022","2005",2
"060133551142022","2006",2
"060133551142022","2008",2
"060133551142022","2000",27
"060133551142026","2000",4
"060133551142027","2004",1
"060133551142027","2007",1
"060133551142030","2007",5
"060133551142030","2006",15
"060133551143040","2004",12
"060133551143040","2013",24
"060133551143040","2016",32
"060133551143040","2014",36
"060133551143040","2005",47
"060133551143040","2003",54
"060133551143040","2015",64
"060133551143041","2003",2
"060133551143041","2005",8
"060133551143041","2004",31
"060133551143043","2003",17
"060133551143043","2004",22
"060133551143044","2004",4
"060133551143044","2005",13
"060133551143044","2003",23
"060133551143045","2003",1
"060133551143045","2004",43
"060133551143051","2004",56
"060133551143052","2004",26
"060133551143054","2005",14
"060133551143054","2006",16
"060133551143054","2004",18
"060133551143054","2003",42
"060133551143055","2005",2
"060133551143055","2004",5
"060133551143056","2005",7
"060133551143056","2004",22
"060133551143057","2005",3
"060133551143057","2004",27
"060133551143058","2003",6
"060133551143058","2004",17
"060133551143059","2003",2
"060133551143059","2005",4
"060133551143059","2006",4
"060133551143059","2007",13
"060133551143059","2004",27
"060133551143060","2003",34
"060133551143061","2003",32
"060133551143062","2010",2
"060133551143062","2012",3
"060133551143062","2009",6
"060133551143062","2011",8
"060133551143063","2005",4
"060133551143063","2009",4
"060133551143063","2007",9
"060133551143063","2006",10
"060133551143063","2010",20
"060133551143064","2009",4
"060133551143064","2013",7
"060133551143064","2010",13
"060133551143064","2011",18
"060133551143064","2007",20
"060133551143064","2012",22
"060133551143064","2006",43
"060133551143065","2008",11
"060133551143065","2006",12
"060133551143065","2007",15
"060133551143066","2006",2
"060133551143067","2007",5
"060133551143067","2006",11
"060133551143069","2007",1
"060133551143069","2005",8
"060133551143069","2006",21
"060133551143070","2005",11
"060133551143071","2004",19
"060133551143071","2003",39
"060133551143072","2008",3
"060133551143072","2006",6
"060133551143072","2005",37
"060133551151000","2005",23
"060133551151001","2005",14
"060133551151002","2005",1
"060133551151002","2007",3
"060133551151002","2004",17
"060133551151003","2005",29
"060133551151004","2007",15
"060133551151004","2005",37
"060133551151009","2008",4
"060133551151009","2009",5
"060133551151009","2010",8
"060133551151009","2007",10
"060133551151009","2012",18
"060133551151009","2013",18
"060133551151009","2005",37
"060133551151010","2008",1
"060133551151010","2010",1
"060133551151011","2007",1
"060133551151011","2009",1
"060133551151012","2005",21
"060133551151013","2004",40
"060133551151014","2004",8
"060133551151014","2005",8
"060133551151015","2007",5
"060133551151016","2005",5
"060133551151017","2005",15
"060133551151018","2005",15
"060133551151019","2006",3
"060133551151019","2005",6
"060133551151019","2007",6
"060133551151023","2007",1
"060133551151024","2010",8
"060133551151024","2013",8
"060133551151026","2014",6
"060133551151026","2003",32
"060133551151026","2004",49
"060133551151026","2015",55
"060133551151026","2017",63
"060133551151026","2016",143
"060133551151028","2004",13
"060133551151028","2003",14
"060133551151029","2017",3
"060133551151030","2005",5
"060133551151030","2003",64
"060133551151030","2004",77
"060133551151031","2004",6
"060133551151032","2004",28
"060133551151036","2010",14
"060133551151036","2012",34
"060133551151036","2017",37
"060133551151036","2013",67
"060133551151036","2014",67
"060133551151036","2015",83
"060133551151036","2016",98
"060133551151036","2011",208
"060133551151037","2016",2
"060133551151038","2011",8
"060133551151038","2012",8
"060133551151039","2013",1
"060133551151039","2010",5
"060133551151039","2011",6
"060133551151040","2010",2
"060133551151040","2011",4
"060133551151040","2013",4
"060133551151040","2007",8
"060133551151041","2010",3
"060133551151041","2011",3
"060133551151041","2009",8
"060133551151041","2007",10
"060133551151042","2009",12
"060133551151042","2010",16
"060133551151043","2009",6
"060133551151043","2010",6
"060133551151045","2013",3
"060133551151045","2010",8
"060133551151046","2007",5
"060133551151046","2013",7
"060133551151047","2007",6
"060133551151047","2008",30
"060133551151049","2008",4
"060133551151049","2009",20
"060133551151050","2008",3
"060133551151050","2009",4
"060133551151051","2009",9
"060133551151052","2009",3
"060133551151053","2007",6
"060133551151053","2008",6
"060133551151054","2009",2
"060133551151054","2008",3
"060133551151055","2009",1
"060133551151055","2008",14
"060133551151056","2010",6
"060133551151056","2011",8
"060133551151057","2017",1
"060133551151058","2012",4
"060133551151058","2014",38
"060133551151058","2015",39
"060133551151058","2013",40
"060133551151059","2012",21
"060133551151060","2014",2
"060133551151060","2015",3
"060133551151060","2016",6
"060133551151061","2012",2
"060133551151061","2010",33
"060133551151062","2010",24
"060133551151063","2015",1
"060133551151063","2017",1
"060133551151063","2010",10
"060133551151063","2011",17
"060133551151067","2004",400
"060133551151069","2004",5
"060133551151069","2003",9
"060133551151070","2004",250
"060133551151071","2004",350
"060133551161000","2004",2
"060133551161000","2012",5
"060133551161000","2011",6
"060133551161001","2008",5
"060133551161001","2014",24
"060133551161001","2010",26
"060133551161001","2011",27
"060133551161001","2009",29
"060133551161001","2017",32
"060133551161001","2015",61
"060133551161001","2016",65
"060133551161001","2013",90
"060133551161001","2006",103
"060133551161001","2007",127
"060133551161001","2012",156
"060133551161006","2001",1
"060133551161006","2016",1
"060133551161007","2005",13
"060133551161007","2010",14
"060133551161007","2004",20
"060133551161007","2008",30
"060133551161007","2009",41
"060133551161007","2007",129
"060133551161008","2009",1
"060133551161008","2008",14
"060133551161009","2017",1
"060133551161009","2007",23
"060133551161010","2007",31
"060133551161011","2007",6
"060133551161011","2009",10
"060133551161012","2007",12
"060133551161013","2009",2
"060133551161013","2007",12
"060133551161015","2008",5
"060133551161015","2007",13
"060133551161016","2004",13
"060133551161017","2004",13
"060133551161018","2008",7
"060133551161018","2009",10
"060133551161018","2007",14
"060133551161019","2007",3
"060133551161019","2009",7
"060133551161019","2010",9
"060133551161020","2004",15
"060133551161021","2007",3
"060133551161021","2008",4
"060133551161021","2009",16
"060133551161022","2008",1
"060133551161022","2009",4
"060133551161022","2007",16
"060133551161023","2009",8
"060133551161023","2007",33
"060133551161024","2007",18
"060133551161025","2004",14
"060133551161025","2005",15
"060133551161026","2008",7
"060133551161026","2007",18
"060133551161027","2003",16
"060133551161027","2002",24
"060133551161028","2004",60
"060133551161029","2008",5
"060133551161029","2009",18
"060133551161030","2007",17
"060133551161031","2007",20
"060133551161032","2005",28
"060133551161033","2004",12
"060133551161034","2003",6
"060133551161034","2002",9
"060133551161034","2004",10
"060133551161046","2007",21
"060133551161046","2010",46
"060133551161046","2009",52
"060133551161046","2008",56
"060133551161046","2011",293
"060133551161047","2009",8
"060133551161047","2008",30
"060133551161048","2004",6
"060133551161048","2003",27
"060133551161049","2003",16
"060133551161049","2002",65
"060133551161050","2003",18
"060133551161050","2002",27
"060133551161051","2004",5
"060133551161051","2003",14
"060133551161051","2002",22
"060133551161052","2003",7
"060133551161052","2002",8
"060133551161052","2004",11
"060133551161053","2004",14
"060133551161053","2002",18
"060133551161053","2003",54
"060133551161054","2003",21
"060133551161055","2003",34
"060133551161056","2002",12
"060133551161057","2003",1
"060133551161057","2002",6
"060133551161059","2002",8
"060133551161059","2003",19
"060133551161060","2004",11
"060133551161060","2002",12
"060133551161061","2004",6
"060133551161062","2004",26
"060133551161063","2004",29
"060133551161064","2004",15
"060133551161065","2004",24
"060133551161068","2007",19
"060133551171000","2005",18
"060133551171000","2004",19
"060133551171001","2002",1
"060133551171001","2006",3
"060133551171001","2003",54
"060133551171001","2005",124
"060133551171001","2004",143
"060133551171002","2006",1
"060133551171002","2005",16
"060133551171003","2004",22
"060133551171004","2006",3
"060133551171004","2005",10
"060133551171005","2005",22
"060133551171006","2006",3
"060133551171006","2007",17
"060133551171007","2005",29
"060133551171008","2004",10
"060133551171009","2005",21
"060133551171010","2005",28
"060133551171011","2005",10
"060133551171012","2002",14
"060133551171012","2003",18
"060133551171013","2005",12
"060133551171014","2002",3
"060133551171014","2003",59
"060133551171015","2003",25
"060133551171015","2002",122
"060133551171016","2003",5
"060133551171016","2002",11
"060133551171017","2002",13
"060133551171018","2002",9
"060133551171019","2003",2
"060133551171019","2002",26
"060133551171020","2004",15
"060133551171021","2008",7
"060133551171021","2007",63
"060133551171021","2005",85
"060133551171021","2006",113
"060133551171022","2005",29
"060133551171023","2006",7
"060133551171023","2005",13
"060133551171024","2006",51
"060133551171025","2007",8
"060133551171025","2006",51
"060133551171026","2006",16
"060133551171027","2007",6
"060133551171027","2008",9
"060133551171028","2007",5
"060133551171028","2006",40
"060133551171029","2006",7
"060133551171029","2005",37
"060133551171030","2005",12
"060133551171031","2006",2
"060133551171031","2007",21
"060133551171033","2005",30
"060133551171034","2006",19
"060133551171034","2007",24
"060133551171035","2005",22
"060133551171036","2005",32
"060133551171038","2006",23
"060133551171081","2006",7
"060133551171082","2007",24
"060133551171083","2006",15
"060133551171084","2007",26
"060133551171085","2008",1
"060133551171085","2007",11
"060133551171086","2008",2
"060133551171086","2007",15
"060133551171086","2006",22
"060133551171087","2006",17
"060133551171088","2009",1
"060133551171088","2007",3
"060133551171088","2006",30
"060133551171089","2006",12
"060133551171089","2007",16
"060133551171090","2006",15
"060133551171090","2007",16
"060133551171091","2007",1
"060133551171091","2006",17
"060133551171092","2008",5
"060133551171092","2007",9
"060133551171092","2006",30
"060133551171093","2007",18
"060133551171094","2006",5
"060133551171094","2005",7
"060133551171095","2005",12
"060133552001004","2016",11
"060133552001005","2008",462
"060133552001012","2008",3
"060133552001012","2016",7
"060133552001012","2006",10
"060133552001012","2007",21
"060133552001012","2015",28
"060133552001012","2017",29
"060133552001012","2010",31
"060133552001012","2014",40
"060133552001012","2013",45
"060133552001012","2009",70
"060133552001012","2011",70
"060133552001012","2012",98
"060133552001013","2009",11
"060133552001014","2010",7
"060133552001014","2009",10
"060133552001015","2008",4
"060133552001015","2010",5
"060133552001016","2009",3
"060133552001016","2008",4
"060133552001018","2013",6
"060133552001018","2017",22
"060133552001018","2014",23
"060133552001018","2015",26
"060133552001018","2016",31
"060133552001019","2017",11
"060133552001152","2010",1
"060133552001152","2005",2
"060133552001152","2009",2
"060133552001152","2011",2
"060133552001153","2005",1
"060133552001153","2004",2
"060133552001154","2008",1
"060133552001154","2004",11
"060133552001156","2009",2
"060133552001156","2010",2
"060133552001178","2003",2
"060133552001179","2003",1
"060133552001179","2004",1
"060133552002003","2016",43
"060133552002003","2014",47
"060133552002003","2017",47
"060133552002003","2013",56
"060133552002003","2015",59
"060133552002006","2014",3
"060133552002006","2007",13
"060133552002006","2006",21
"060133552002006","2013",38
"060133552002007","2012",8
"060133552002007","2010",12
"060133552002007","2007",16
"060133552002008","2002",1
"060133552002008","2006",1
"060133552002008","2008",1
"060133552002008","2001",14
"060133552002008","2010",16
"060133552002008","2004",19
"060133552002008","2016",20
"060133552002008","2011",24
"060133552002008","2012",39
"060133552002008","2007",40
"060133552002008","2013",59
"060133552002008","2015",61
"060133552002008","2014",69
"060133552002010","2004",7
"060133552002010","2001",14
"060133552002010","2003",24
"060133552002011","2013",5
"060133552002011","2012",10
"060133552002012","2008",1
"060133552002012","2007",2
"060133552002012","2009",5
"060133552002012","2003",8
"060133552002012","2004",18
"060133552002013","2008",4
"060133552002013","2013",7
"060133552002013","2007",15
"060133552002014","2012",1
"060133552002014","2004",4
"060133552002015","2003",10
"060133552002015","2002",14
"060133552002015","2001",21
"060133552002016","2003",8
"060133552002016","2004",9
"060133552002016","2001",11
"060133552002016","2002",19
"060133552002017","2008",1
"060133552002017","2009",1
"060133552002017","2005",23
"060133552002018","2009",1
"060133552002018","2005",23
"060133552002019","2001",14
"060133552002020","2011",7
"060133552002020","2007",10
"060133552002020","2010",11
"060133552002021","2000",1
"060133552002021","2002",1
"060133552002021","2006",2
"060133552002021","2013",2
"060133552002021","2015",7
"060133552002021","2007",8
"060133552002021","2009",8
"060133552002021","2014",12
"060133552002022","2007",1
"060133552002025","2004",2
"060133552002025","2005",4
"060133552002025","2002",8
"060133552002025","2000",42
"060133552002028","2001",1
"060133552002028","2002",12
"060133552002030","2000",1
"060133552002030","2005",1
"060133552002049","2004",3
"060133552002051","2002",1
"060133552002051","2005",1
"060133552002051","2003",17
"060133552002051","2001",23
"060133552002051","2004",36
"060133552002052","2002",4
"060133552002052","2003",30
"060133552002053","2002",24
"060133552002054","2001",2
"060133552002055","2003",5
"060133552002055","2004",15
"060133552002056","2003",1
"060133552002056","2002",23
"060133552002057","2001",2
"060133552002057","2004",2
"060133552002058","2004",1
"060133552002062","2002",4
"060133552002062","2000",11
"060133552002062","2001",30
"060133552002063","2004",2
"060133552002063","2001",5
"060133552002068","2008",1
"060133552002068","2007",5
"060133552002068","2004",6
"060133552002068","2003",13
"060133552002069","2007",1
"060133552002069","2008",1
"060133552002069","2004",8
"060133552002069","2005",11
"060133552002071","2001",1
"060133552002071","2003",3
"060133552002072","2001",1
"060133552002072","2003",1
"060133553011020","2003",7
"060133553011021","2003",37
"060133553011022","2004",2
"060133553011022","2001",3
"060133553011022","2002",31
"060133553011022","2003",69
"060133553011023","2002",8
"060133553011023","2004",10
"060133553011023","2003",16
"060133553011032","2002",1
"060133553011032","2013",2
"060133553011032","2004",7
"060133553011032","2001",26
"060133553011032","2000",44
"060133553011033","2001",1
"060133553011033","2005",2
"060133553011033","2000",5
"060133553011033","2004",7
"060133553011034","2001",1
"060133553011034","2000",19
"060133553011035","2001",1
"060133553011035","2004",2
"060133553011035","2000",4
"060133553011035","2002",16
"060133553011035","2003",17
"060133553011036","2003",2
"060133553011036","2002",3
"060133553011036","2001",4
"060133553011037","2001",6
"060133553011037","2000",23
"060133553011047","2000",1
"060133553011047","2004",1
"060133553011057","2003",1
"060133553011057","2001",2
"060133553011057","2002",19
"060133553011057","2000",24
"060133553011059","2001",1
"060133553011059","2000",2
"060133553011059","2002",5
"060133553011061","2002",1
"060133553011061","2001",4
"060133553011061","2000",5
"060133553011061","2003",11
"060133553011063","2001",2
"060133553011063","2002",4
"060133553011066","2004",3
"060133553011066","2000",4
"060133553011066","2001",5
"060133553011066","2003",16
"060133553012015","2004",1
"060133553012015","2007",1
"060133553014000","2002",1
"060133553014005","2007",1
"060133553014006","2002",6
"060133553014010","2004",1
"060133553014014","2002",1
"060133553014024","2005",1
"060133553021004","2005",1
"060133553021006","2000",7
"060133553022003","2006",1
"060133553022005","2017",1
"060133553023016","2002",3
"060133553023033","2006",1
"060133553023034","2000",1
"060133553023034","2001",1
"060133553023034","2003",1
"060133553023034","2005",1
"060133553023035","2015",1
"060133553023039","2004",1
"060133553023042","2005",1
"060133553023050","2011",1
"060133553042014","2000",33
"060133553043004","2010",1
"060133553043005","2002",8
"060133553043011","2010",1
"060133553044006","2008",1
"060133553044016","2003",1
"060133553044018","2001",1
"060133553045000","2002",1
"060133553045000","2000",5
"060133553045016","2002",3
"060133553045016","2003",16
"060133553061000","2001",1
"060133553061000","2013",1
"060133553061006","2000",1
"060133553061006","2002",1
"060133553061006","2016",1
"060133553061013","2000",2
"060133553061013","2001",3
"060133553061017","2011",1
"060133553061017","2013",3
"060133553061017","2012",11
"060133553061018","2012",6
"060133553061019","2012",3
"060133553061046","2002",14
"060133553061048","2002",2
"060133553061049","2002",2
"060133553061050","2002",2
"060133553061096","2008",1
"060133553061096","2009",1
"060133553061103","2006",1
"060133553061103","2000",2
"060133553062005","2006",8
"060133553062014","2003",1
"060133553063004","2000",1
"060133553063005","2007",6
"060133553063006","2000",1
"060133553063006","2003",1
"060133553063006","2007",3
"060133553063009","2001",1
"060133553063009","2007",1
"060133553063009","2006",2
"060133553065006","2004",1
"060133560011001","2003",1
"060133560011004","2006",1
"060133560021006","2000",1
"060133560021006","2004",2
"060133560021006","2001",3
"060133560021006","2009",4
"060133560022042","2005",1
"060133560022062","2008",1
"060133560022077","2000",1
"060133560022077","2005",1
"060133560022077","2013",1
"060133560022077","2016",1
"060133560022077","2001",2
"060133560022086","2009",1
"060133560022086","2007",2
"060133560022092","2009",1
"060133560022120","2000",1
"060133560022120","2004",1
"060133560022120","2007",1
"060133560022120","2012",1
"060133560022120","2006",2
"060133560024002","2014",1
"060133560024004","2006",1
"060133560024006","2000",1
"060133560024006","2001",1
"060133560024015","2000",1
"060133560024015","2001",1
"060133560024015","2003",1
"060133560024015","2006",1
"060133560024015","2008",1
"060133560024015","2010",1
"060133560024015","2012",1
"060133560024016","2000",1
"060133560024016","2001",1
"060133560024016","2002",1
"060133560024016","2005",1
"060133560024016","2013",1
"060133560024016","2016",1
"060133560024019","2001",1
"060133560024019","2003",1
"060133560024020","2017",2
"060133560024023","2003",1
"060133560024023","2004",1
"060133560024023","2006",1
"060133560024023","2007",1
"060133560024023","2002",3
"060133560024025","2016",11
"060133560024025","2015",13
"060133560024027","2017",1
"060133560024030","2001",1
"060133560024031","2007",1
"060133560024057","2001",1
"060133560024059","2007",1
"060133560024061","2002",1
"060133560024068","2003",1
"060133560024111","2000",1
"060133560024116","2002",1
"060133560024117","2013",1
"060133560024117","2000",2
"060133560024176","2009",3
"060133570001008","2004",1
"060133570001008","2017",1
"060133570001012","2000",37
"060133570001025","2008",1
"060133570001039","2010",1
"060133570002019","2005",1
"060133570003008","2002",6
"060133570003010","2000",1
"060133570003014","2000",1
"060133570003014","2006",1
"060133570003015","2000",1
"060133570003015","2009",1
"060133570003016","2000",2
"060133570003016","2004",2
"060133570003019","2006",1
"060133570003024","2007",1
"060133570003025","2004",1
"060133580001000","2000",1
"060133580001000","2004",1
"060133580001000","2007",1
"060133580001000","2008",1
"060133580001000","2017",1
"060133580001000","2002",2
"060133580001003","2001",1
"060133580001003","2000",32
"060133580001004","2006",11
"060133580001005","2005",2
"060133580001005","2004",3
"060133580001013","2000",26
"060133580002003","2008",0
"060133580002007","2005",2
"060133580002010","2002",1
"060133580002019","2001",1
"060133580002021","2014",1
"060133580002022","2003",1
"060133580002022","2004",3
"060133580002026","2006",1
"060133580002026","2008",1
"060133580003001","2005",1
"060133580004004","2016",1
"060133580004006","2003",1
"060133580004006","2006",2
"060133580004011","2015",2
"060133580004012","2005",1
"060133580004013","2006",1
"060133580004015","2006",1
"060133580004015","2007",2
"060133580004015","2004",6
"060133580004018","2005",2
"060133580005022","2014",1
"060133580005025","2013",1
"060133580005077","2006",1
"060133580005090","2002",1
"060133591021003","2002",1
"060133591021003","2004",1
"060133591022002","2007",16
"060133591022002","2006",20
"060133591022003","2007",2
"060133591023000","2000",18
"060133591023001","2000",24
"060133591023002","2000",10
"060133591023006","2000",2
"060133591023006","2001",4
"060133591023006","2002",4
"060133591023006","2007",20
"060133591023008","2000",2
"060133591023008","2001",4
"060133591023011","2004",1
"060133591023013","2015",1
"060133591031007","2001",5
"060133591031012","2001",3
"060133591031016","2010",3
"060133591031017","2006",10
"060133591032001","2000",1
"060133591032001","2004",1
"060133591032013","2005",1
"060133591032013","2007",1
"060133591032013","2001",2
"060133591033016","2004",1
"060133591033016","2002",19
"060133591033022","2006",1
"060133591033026","2000",1
"060133591051009","2003",45
"060133591051010","2005",18
"060133591051011","2005",26
"060133591051011","2010",147
"060133591051012","2005",4
"060133591051012","2004",7
"060133591051012","2006",10
"060133591051013","2005",38
"060133591051014","2006",1
"060133591051014","2004",9
"060133591051014","2005",28
"060133591051015","2004",46
"060133591051017","2005",27
"060133591051018","2003",32
"060133591051019","2005",23
"060133591051020","2005",32
"060133591051021","2005",32
"060133591051022","2003",13
"060133591051022","2004",19
"060133591051023","2006",2
"060133591051023","2005",22
"060133591051024","2005",33
"060133591051025","2003",28
"060133591051026","2003",1
"060133591051026","2002",21
"060133591051028","2002",28
"060133591051029","2001",2
"060133591051029","2002",12
"060133591051029","2003",50
"060133591051030","2003",2
"060133591051030","2002",19
"060133591051031","2002",14
"060133591051031","2003",16
"060133591051035","2001",2
"060133591051035","2000",3
"060133591051042","2003",6
"060133591051042","2004",16
"060133591051042","2000",49
"060133591051042","2001",61
"060133591051045","2004",10
"060133591051045","2003",24
"060133591051046","2000",10
"060133591051047","2001",6
"060133591051048","2000",14
"060133591051058","2005",26
"060133591051059","2005",7
"060133591051059","2006",16
"060133591051060","2005",7
"060133592021020","2008",1
"060133592022010","2002",1
"060133592022010","2004",1
"060133592022010","2007",1
"060133592022015","2015",1
"060133592022022","2007",1
"060133592022031","2002",1
"060133592023002","2001",1
"060133592031000","2003",15
"060133592033003","2009",1
"060133592034004","2016",1
"060133592034008","2003",34
"060133592034008","2001",38
"060133592034008","2005",51
"060133592034008","2002",52
"060133592041004","2007",1
"060133592041005","2002",1
"060133592043001","2003",97
"060133592043006","2002",1
"060133592043010","2004",1
"060133592043022","2001",1
"060133592043022","2002",1
"060133592043022","2003",1
"060133592043022","2005",1
"060133592043022","2004",3
"060133601011002","2001",1
"060133601011002","2002",1
"060133601011003","2007",1
"060133601011012","2005",32
"060133601011013","2005",11
"060133601012000","2007",1
"060133601012008","2001",1
"060133601012008","2005",1
"060133601012008","2004",23
"060133601012010","2010",1
"060133601012020","2004",1
"060133601012020","2005",2
"060133601012021","2008",1
"060133601012033","2001",1
"060133601013008","2017",1
"060133601013011","2005",1
"060133601013012","2001",1
"060133601013014","2002",2
"060133601013022","2001",1
"060133601013022","2007",1
"060133601013022","2005",2
"060133601013022","2006",2
"060133601013023","2000",1
"060133601021001","2002",1
"060133601021001","2004",2
"060133601021001","2005",2
"060133601021001","2009",3
"060133601021015","2000",1
"060133601021015","2007",7
"060133601021015","2008",8
"060133601022003","2007",1
"060133601023000","2010",1
"060133601023001","2001",1
"060133601023001","2005",1
"060133601023009","2001",1
"060133602001013","2002",1
"060133602001013","2006",2
"060133602002002","2008",1
"060133602002008","2004",1
"060133602002008","2007",1
"060133602002008","2002",2
"060133602003004","2003",1
"060133602003005","2002",2
"060133602003017","2003",1
"060133602003018","2017",1
"060133602003020","2006",1
"060133610002001","2001",2
"060133610002006","2003",22
"060133610002024","2003",1
"060133610002024","2004",1
"060133610002032","2015",1
"060133610003000","2006",1
"060133610003004","2004",1
"060133610003006","2000",1
"060133610003006","2002",1
"060133610003006","2005",1
"060133610003006","2001",59
"060133610003011","2001",8
"060133610003012","2007",1
"060133610003016","2003",1
"060133610003019","2008",1
"060133620001008","2003",1
"060133620001008","2005",1
"060133620001008","2007",1
"060133620001009","2015",1
"060133620001010","2004",1
"060133620001011","2006",1
"060133620001011","2009",1
"060133620001011","2014",1
"060133620001012","2013",1
"060133620002000","2003",1
"060133620002000","2006",1
"060133620002000","2010",1
"060133620002000","2004",2
"060133620002003","2005",1
"060133620002006","2000",3
"060133620002010","2015",1
"060133620002011","2009",1
"060133620003000","2016",1
"060133620003006","2007",1
"060133620003007","2008",1
"060133620003012","2004",1
"060133620003015","2002",1
"060133620003015","2003",1
"060133630001000","2002",1
"060133630001000","2007",1
"060133630001000","2009",1
"060133630001000","2010",1
"060133630001000","2004",2
"060133630001000","2005",2
"060133630001000","2015",2
"060133630001000","2001",5
"060133630001000","2006",21
"060133630001001","2013",1
"060133630001003","2002",1
"060133630001003","2006",1
"060133630001020","2005",1
"060133630002000","2004",1
"060133630002001","2000",1
"060133630002001","2006",1
"060133630002001","2013",1
"060133630002003","2007",2
"060133630002004","2005",1
"060133630002004","2008",1
"060133630002004","2011",2
"060133630002004","2007",5
"060133630002004","2006",14
"060133630002004","2003",39
"060133630002005","2003",9
"060133630002006","2002",1
"060133630002006","2005",2
"060133630002007","2007",2
"060133630002007","2016",2
"060133630002007","2017",8
"060133630003000","2001",1
"060133630003000","2004",1
"060133630003000","2005",1
"060133630004008","2006",1
"060133630004013","2015",1
"060133630004021","2005",1
"060133630004025","2006",1
"060133640021003","2009",1
"060133640021003","2012",1
"060133640021015","2005",1
"060133640022008","2002",1
"060133640023000","2003",15
"060133640023001","2003",5
"060133640023002","2007",1
