FIPS13,YearBuilt,TotalUnits
"060014015001014","2002",36
"060014015001018","2005",2
"060014015001021","2006",1
"060014015001022","2006",15
"060014015002001","2006",1
"060014015002002","2006",2
"060014015002003","2008",1
"060014015002003","2004",26
"060014015002006","2007",2
"060014015003000","2016",1
"060014015003000","2017",1
"060014015003002","2007",2
"060014015003006","2004",1
"060014016001002","2005",2
"060014016001006","2010",2
"060014016001017","2008",13
"060014016001025","2004",4
"060014016001027","2008",2
"060014016001029","2007",1
"060014016002000","2006",1
"060014016002004","2006",2
"060014016002004","2001",6
"060014016002007","2003",6
"060014016002010","2015",10
"060014016002019","2003",23
"060014017001020","2014",1
"060014017001020","2007",2
"060014017001020","2006",4
"060014017001026","2005",819
"060014017001027","2006",28
"060014017001028","2007",1
"060014017001028","2002",2
"060014017001028","2003",4
"060014017001030","2006",1
"060014017001030","2011",1
"060014017001030","2013",2
"060014017001030","2005",4
"060014017001030","2002",8
"060014017001030","2004",12
"060014017001032","2005",1001
"060014017001033","2005",1638
"060014017001034","2005",2457
"060014017001035","2005",2366
"060014017001045","2001",2
"060014017001045","2007",3
"060014017001045","2017",10
"060014017001046","2006",93
"060014017001048","2004",2
"060014017001048","2005",2
"060014017001049","2015",1
"060014017001049","2004",2
"060014017001050","2005",1
"060014017001050","2009",1
"060014017002009","2010",19
"060014017002009","2016",20
"060014017002009","2011",22
"060014017002009","2017",62
"060014017002009","2009",189
"060014017002009","2008",442
"060014017002009","2007",520
"060014017002011","2017",9
"060014017002014","2009",14
"060014017002014","2008",78
"060014017002016","2008",8
"060014017002017","2007",2
"060014017002019","2015",2
"060014017002024","2007",1
"060014017002025","2017",2
"060014017002031","2014",1
"060014017002031","2015",2
"060014018001002","2006",1
"060014018001002","2003",2
"060014018001005","2005",1
"060014018001012","2006",2
"060014018001013","2010",1
"060014018001015","2015",1
"060014018001015","2016",1
"060014018001016","2006",2
"060014018001017","2015",1
"060014018002000","2007",1
"060014018002001","2016",2
"060014018002002","2000",1
"060014018002002","2017",1
"060014018002002","2007",2
"060014018002002","2008",2
"060014018002009","2006",2
"060014018002012","2005",1
"060014022001010","2015",12
"060014022001012","2014",1
"060014022001013","2006",1
"060014022001013","2007",2
"060014022001018","2015",1
"060014022002000","2017",2
"060014022002000","2016",3
"060014022002005","2006",1
"060014022002005","2004",2
"060014022002005","2005",2
"060014022002009","2008",1
"060014022002012","2017",1
"060014022002014","2008",11
"060014022002015","2016",1
"060014022003004","2013",1
"060014022003007","2003",1
"060014022003007","2015",1
"060014022003007","2005",3
"060014022003010","2004",2
"060014022003010","2016",2
"060014022003011","2007",1
"060014022003015","2007",10
"060014024001009","2007",8
"060014024001014","2008",1
"060014024001015","2017",1
